Nitrogen,Phosphorus,Potassium,Temperature,Humidity,Soil_pH,Rainfall,Crop,State,District,Latitude,Longitude,Altitude,Soil_Type,Organic_Carbon,Electrical_Conductivity,Groundwater_Level,Soil_Moisture,Agro_Climatic_Zone,Water_Availability,Irrigation_Type,Season,Month,Wind_Speed,Solar_Radiation,Sunshine_Hours,NPK_Total,NPK_Ratio_N,NPK_Ratio_P,NPK_Ratio_K,Fertility_Index,Crop_Suitability_Score,Rainfall_Category,Temperature_Category,Soil_Fertility_Index,Rainfall_Category_Code,Temperature_Category_Code,Season_Code
88,35,40,23.57943626,83.58760316,5.85393208,291.2986618,rice,Andhra Pradesh,Guntur,16.012149,79.840587,209.2,Clayey,0.469,0.72,11.89,30.51,East Coast Plains and Hills Region,Medium,Canal,Kharif,July,9.17,18.51,5.16,163,0.5398772674921921,0.2147239132071219,0.24539875795099644,41.79,0.48036022876920365,High,Moderate,26.541859248543332,2,1,1
89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,rice,West Bengal,Nadia,22.927512,87.413829,80.7,Clayey,0.529,0.294,2.64,31.04,Lower Gangetic Plains Region,High,Flood,Kharif,July,7.45,13.93,4.87,170,0.5235293809688599,0.2647058667820078,0.21176469342560628,46.74,0.7564259404499742,High,Moderate,38.84937977298437,2,1,1
76,40,43,25.15745531,83.11713476,5.070175667,231.3843163,rice,West Bengal,Bardhaman,23.334769,87.235311,97.8,Alluvial,0.725,0.521,4.15,28.84,Lower Gangetic Plains Region,High,Flood,Kharif,June,7.23,16.96,4.29,159,0.4779873913215477,0.25157231122186724,0.27044023456350724,40.91,0.5649343484774259,High,Moderate,26.23011163716562,2,1,1
67,59,41,21.94766735,80.97384195,6.012632591,213.3560921,rice,Tamil Nadu,Madurai,12.285161,78.482672,349.9,Clayey,0.516,0.462,9.24,40.05,East Coast Plains and Hills Region,Low,Flood,Kharif,June,8.8,19.03,5.85,167,0.40119758076661194,0.35329339201835974,0.24550896733479238,43.76,0.5547829834737795,High,Moderate,30.684269201291997,2,1,1
83,41,43,21.0525355,82.67839517,6.254028451,233.1075816,rice,Punjab,Bathinda,31.236583,75.491051,267.7,Clayey,0.705,0.561,26.25,37.5,Trans-Gangetic Plains Region,Low,Canal,Kharif,July,10.46,17.7,7.33,167,0.4970059582631163,0.24550896733479238,0.2574850145218554,47.23,0.6200348499385178,High,Moderate,47.24535807690499,2,1,1
98,47,37,23.48381344,81.33265073,7.375482851,224.0581164,rice,Uttar Pradesh,Lucknow,26.795937,80.013356,111.5,Alluvial,0.688,0.268,9.94,28.29,Upper Gangetic Plains Region,Medium,Canal,Kharif,June,10.86,15.64,5.98,182,0.5384615088757413,0.25824174405265143,0.20329669212655538,47.4,0.5503223575991294,High,Moderate,39.221419260072,2,1,1
66,53,41,25.0756354,80.52389148,7.778915154,257.0038865,rice,West Bengal,Bardhaman,22.826017,87.363394,42.1,Alluvial,0.776,0.359,4.02,23.56,Lower Gangetic Plains Region,Medium,Canal,Kharif,June,8.41,14.54,4.92,160,0.4124999742187516,0.3312499792968763,0.256249983984376,42.6,0.4322707741949502,High,Moderate,30.384031871283998,2,1,1
97,59,43,26.35927159,84.04403589,6.286500176,271.3586137,rice,Punjab,Bathinda,31.246669,75.330559,221.9,Alluvial,0.763,0.505,25.86,30.17,Trans-Gangetic Plains Region,Low,Flood,Kharif,June,7.82,17.34,7.73,199,0.4874371614353185,0.29648239716168856,0.21608039115173913,53.88,0.5129336078210721,High,Moderate,61.479714424828,2,2,1
97,50,41,24.52922681,80.54498576,7.070959995,260.2634026,rice,Uttar Pradesh,Meerut,26.37198,80.588854,163.9,Alluvial,0.455,0.196,8.33,25.62,Upper Gangetic Plains Region,Medium,Flood,Kharif,June,7.94,14.51,5.73,188,0.515957419363967,0.2659574326618387,0.2180850947827077,46.31,0.5104280940718185,High,Moderate,30.439413612657297,2,1,1
60,49,44,20.77576147,84.49774397,6.244841491,240.0810647,rice,Andhra Pradesh,Guntur,16.20048,79.351221,64.7,Alluvial,0.9,0.414,11.64,20.65,East Coast Plains and Hills Region,High,Canal,Kharif,June,13.88,19.84,5.57,153,0.39215683711393223,0.32026141697637794,0.28758168055021693,47.28,0.5084455849192943,High,Moderate,53.4214775185875,2,1,1
84,51,35,22.30157427,80.64416466,6.043304899,197.9791215,rice,Uttar Pradesh,Varanasi,26.044593,81.468787,164.3,Clayey,0.86,0.235,10.55,32.24,Upper Gangetic Plains Region,High,Canal,Kharif,July,5.73,15.81,6.06,170,0.4941176179930813,0.29999998235294223,0.20588234083045054,49.59,0.712261817408714,High,Moderate,54.13424477521499,2,1,1
73,57,41,21.44653958,84.94375962,5.824709117,272.2017204,rice,Tamil Nadu,Madurai,10.245813,77.786653,72.9,Alluvial,0.871,0.315,6.02,32.24,East Coast Plains and Hills Region,Low,Flood,Kharif,July,14.65,18.05,4.94,171,0.4269005598303766,0.3333333138401571,0.23976606784993754,48.5,0.4403563488200754,High,Moderate,49.439395065479246,2,1,1
92,35,40,22.17931888,80.33127223,6.357389366,200.0882787,rice,Tamil Nadu,Thanjavur,10.879315,78.208823,269.4,Alluvial,0.848,0.187,5.53,20.78,East Coast Plains and Hills Region,Medium,Canal,Kharif,July,15.47,18.7,5.92,167,0.5508981706049,0.20958082577360324,0.23952094374126084,49.87,0.6736352158480547,High,Moderate,59.86992692267599,2,1,1
85,37,39,24.52783742,82.73685569,6.364134968,224.6757231,rice,Punjab,Amritsar,31.316487,75.588851,238.5,Alluvial,0.711,0.516,24.72,30.08,Trans-Gangetic Plains Region,High,Canal,Kharif,June,13.59,17.7,6.99,161,0.5279502777670635,0.22981365032213352,0.24223600979900559,47.04,0.6978165853381002,High,Moderate,48.194799106535996,2,1,1
98,53,38,20.26707606,81.63895217,5.01450727,270.4417274,rice,Punjab,Bathinda,31.042162,75.797431,198.8,Alluvial,0.661,0.262,25.03,22.35,Trans-Gangetic Plains Region,Medium,Canal,Kharif,June,14.36,18.26,6.48,189,0.5185184910836778,0.2804232655860706,0.20105819042020157,45.54,0.3837583047053536,High,Moderate,27.738516172397922,2,1,1
88,54,44,25.7354293,83.88266234,6.149410611,233.1321372,rice,Uttar Pradesh,Varanasi,27.14553,79.959612,175.9,Alluvial,0.668,0.567,9.13,26.49,Upper Gangetic Plains Region,High,Flood,Kharif,June,7.82,16.04,6.14,186,0.4731182541334272,0.29032256503642123,0.2365591270667136,49.59,0.6757258540766625,High,Moderate,47.63728592265034,2,1,1
95,55,42,26.79533926,82.1480873,5.950660556,193.3473987,rice,West Bengal,Hooghly,22.900386,88.189558,19.2,Alluvial,0.407,0.384,7.08,32.89,Lower Gangetic Plains Region,Medium,Canal,Kharif,June,10.26,14.73,4.18,192,0.4947916408962687,0.28645831841362923,0.21874998860677142,46.38,0.7275107609506732,High,Moderate,27.88616857758049,2,2,1
99,57,35,26.75754171,81.17734011,5.960370061,272.2999056,rice,Andhra Pradesh,Guntur,16.066266,79.26703,212.0,Clayey,0.613,0.31,5.07,42.08,East Coast Plains and Hills Region,High,Flood,Kharif,June,8.8,17.77,5.57,191,0.5183245801924303,0.29842930374715687,0.18324606370439456,49.61,0.4876750447528675,High,Moderate,42.229791727004006,2,2,1
95,39,36,23.86330467,83.15250801,5.561398642,285.2493645,rice,Tamil Nadu,Salem,10.996045,78.360204,306.5,Clayey,0.53,0.39,7.08,33.25,East Coast Plains and Hills Region,High,Flood,Kharif,June,10.37,19.46,6.04,170,0.5588234965397944,0.22941175121107346,0.21176469342560628,42.91,0.4570957356857389,High,Moderate,27.541144773220836,2,1,1
60,43,44,21.01944696,82.95221726,7.416245107,298.4018471,rice,Punjab,Patiala,31.972378,75.25191,297.0,Alluvial,0.65,0.357,28.59,21.42,Trans-Gangetic Plains Region,High,Flood,Kharif,July,9.25,18.44,6.52,147,0.4081632375399158,0.29251698690360634,0.2993197075292716,39.91,0.3381420504086474,High,Moderate,28.273949204393745,2,1,1
63,44,41,24.17298839,83.7287574,5.583370042,257.0343554,rice,Uttar Pradesh,Lucknow,28.048737,80.594358,237.0,Clayey,0.802,0.289,5.0,31.17,Upper Gangetic Plains Region,Medium,Flood,Kharif,June,10.38,14.52,5.12,148,0.42567564691380766,0.29729727720964344,0.2770270083089859,42.39,0.52164936121756,High,Moderate,35.2969760940745,2,1,1
62,42,36,22.78133816,82.06719137,6.430010215,248.7183228,rice,Punjab,Patiala,31.31636,75.498551,267.1,Clayey,0.616,0.854,28.28,41.24,Trans-Gangetic Plains Region,Medium,Canal,Kharif,July,14.11,17.31,7.19,140,0.44285711122449206,0.29999997857143007,0.25714283877551153,42.52,0.5210287226857331,High,Moderate,36.24813303983666,2,1,1
64,45,43,25.62980105,83.52842314,5.534878156,209.9001977,rice,Tamil Nadu,Salem,10.768709,78.494355,125.7,Clayey,0.766,0.402,12.22,39.12,East Coast Plains and Hills Region,Medium,Flood,Kharif,July,6.54,16.33,5.24,152,0.42105260387811816,0.29605261210180184,0.28289471823061063,42.25,0.6618093451747733,High,Moderate,33.77219446241334,2,1,1
83,60,36,25.59704938,80.14509262,6.903985986,200.834898,rice,Andhra Pradesh,Krishna,15.495273,78.876252,194.7,Clayey,0.964,0.551,11.99,35.92,East Coast Plains and Hills Region,High,Canal,Kharif,July,12.31,18.03,5.79,179,0.46368712493368014,0.3351955120002507,0.20111730720015042,52.77,0.6499186398857522,High,Moderate,64.64940232864666,2,1,1
82,40,40,23.83067496,84.81360127,6.271478838,298.5601175,rice,West Bengal,Nadia,22.548082,87.764858,17.9,Alluvial,0.712,0.312,7.52,30.01,Lower Gangetic Plains Region,High,Flood,Kharif,June,7.63,14.53,5.37,162,0.5061728082609378,0.24691356500533548,0.24691356500533548,46.75,0.5200761585024013,High,Moderate,46.70126607285867,2,1,1
85,52,45,26.31355498,82.36698992,7.224285503,265.5355937,rice,Uttar Pradesh,Lucknow,27.132058,80.374446,149.5,Clayey,0.61,0.898,10.48,40.39,Upper Gangetic Plains Region,Medium,Canal,Kharif,June,8.16,16.88,6.25,182,0.4670329413718164,0.28571427001569943,0.24725273366743222,46.37,0.5183996367311343,High,Moderate,36.49771946001125,2,2,1
91,35,38,24.8972823,80.52586088,6.13428721,183.6793207,rice,West Bengal,Nadia,22.740657,87.27588,61.8,Clayey,0.732,0.597,2.13,43.67,Lower Gangetic Plains Region,High,Flood,Kharif,July,11.21,14.46,5.7,164,0.5548780149464625,0.2134146211332548,0.23170730294467665,46.94,0.793884202518347,High,Moderate,46.841578024615,2,1,1
76,49,42,24.958779,84.47963372,5.206373153,196.9560008,rice,Uttar Pradesh,Varanasi,26.101205,80.459047,192.1,Alluvial,0.729,0.3,6.59,29.19,Upper Gangetic Plains Region,Medium,Canal,Kharif,June,9.48,16.81,5.38,167,0.4550897931083956,0.2934131560830445,0.2514969909283239,43.06,0.6756548193522428,High,Moderate,29.906535769410375,2,1,1
74,39,38,23.24113501,84.59201843,7.782051313,233.0453455,rice,Punjab,Bathinda,31.097463,75.76042,212.0,Clayey,0.894,0.488,17.58,30.51,Trans-Gangetic Plains Region,High,Canal,Kharif,July,11.31,18.95,7.05,151,0.49006619271084817,0.2582781285908524,0.2516556124731382,42.82,0.4803086673613239,High,Moderate,33.72462118732523,2,1,1
79,43,39,21.66628296,80.70960551,7.062779015,210.8142087,rice,Uttar Pradesh,Lucknow,27.146326,79.440073,229.0,Alluvial,0.566,0.509,9.64,33.01,Upper Gangetic Plains Region,Low,Flood,Kharif,July,5.79,16.63,6.53,161,0.4906831993364472,0.26708072875274974,0.24223600979900559,43.2,0.6143430282092023,High,Moderate,32.302520731692496,2,1,1
88,55,45,24.63544858,80.41363018,7.730367824,253.7202781,rice,Uttar Pradesh,Lucknow,26.965327,81.416996,164.5,Alluvial,0.636,0.439,9.4,22.59,Upper Gangetic Plains Region,High,Flood,Kharif,July,8.21,17.73,6.06,188,0.4680850814848361,0.29255317592802255,0.2393616893956548,45.59,0.4581805518548472,High,Moderate,30.575704736927996,2,1,1
60,36,43,23.43121862,83.06310136,5.286203711,219.9048349,rice,Punjab,Ludhiana,30.737223,74.9192,224.6,Alluvial,0.718,0.487,10.62,32.0,Trans-Gangetic Plains Region,High,Flood,Kharif,July,10.54,18.51,7.08,139,0.43165464520470176,0.2589927871228211,0.30935249573003626,38.18,0.4986443117079641,High,Moderate,25.48957350689774,2,1,1
76,60,39,20.0454142,80.3477562,6.766240045,208.5810155,rice,Uttar Pradesh,Lucknow,27.561628,79.996671,289.8,Alluvial,0.614,0.311,6.69,26.75,Upper Gangetic Plains Region,Medium,Canal,Kharif,July,11.84,16.63,6.6,175,0.43428568946938917,0.34285712326530726,0.2228571301224497,47.65,0.5236419662301254,High,Moderate,42.03315400143209,2,1,1
93,56,42,23.85724032,82.22572988,7.382762603,195.0948311,rice,Andhra Pradesh,Guntur,16.238742,79.845367,17.3,Clayey,0.83,0.851,7.62,39.42,East Coast Plains and Hills Region,High,Canal,Kharif,June,9.86,17.19,5.35,191,0.486910969271677,0.2931937019270313,0.21989527644527349,50.52,0.5923427897281612,High,Moderate,48.76527034640249,2,1,1
65,60,43,21.97199397,81.89918197,5.658169482,227.3637009,rice,Andhra Pradesh,Anantapur,15.52807,79.522706,137.6,Clayey,0.863,0.356,10.42,33.27,East Coast Plains and Hills Region,High,Flood,Kharif,June,6.5,19.58,6.16,168,0.38690473887471794,0.357142835884355,0.2559523657171211,46.97,0.47382334920594465,High,Moderate,44.1567770678189,2,1,1
95,52,36,26.22916897,83.83625819,5.543360238,286.5083725,rice,West Bengal,Murshidabad,23.703244,87.472661,57.0,Clayey,0.875,0.326,2.59,37.11,Lower Gangetic Plains Region,High,Flood,Kharif,July,9.06,15.51,4.64,183,0.5191256546925872,0.28415298993699506,0.19672130072561198,49.86,0.477762472623116,High,Moderate,47.97639558804167,2,2,1
75,38,39,23.44676801,84.79352417,6.215109715,283.9338466,rice,Uttar Pradesh,Lucknow,27.394377,81.166947,295.9,Alluvial,0.881,0.231,5.29,26.43,Upper Gangetic Plains Region,High,Flood,Kharif,July,8.97,14.73,6.03,152,0.4934210201696697,0.24999998355263264,0.2565789304882283,47.1,0.5099403653546853,High,Moderate,52.92325795349435,2,1,1
74,54,38,25.65553461,83.47021081,7.120272972,217.3788583,rice,Odisha,Cuttack,20.579554,84.28475,57.2,Alluvial,0.753,0.143,4.82,25.43,East Coast Plains and Hills Region,High,Flood,Kharif,June,8.67,17.14,5.47,166,0.4457831056757165,0.32530118522282014,0.22891564886050308,46.47,0.6001316379479404,High,Moderate,42.707771108001985,2,1,1
91,36,45,24.44345477,82.45432595,5.950647577,267.9761948,rice,Tamil Nadu,Coimbatore,11.518187,78.739866,256.2,Clayey,0.747,0.575,8.74,36.36,East Coast Plains and Hills Region,Medium,Canal,Kharif,June,10.68,15.71,6.24,172,0.5290697366819921,0.2093023134126562,0.26162789176582024,47.22,0.526408515012285,High,Moderate,46.29977834131387,2,1,1
71,46,40,20.2801937,82.1235421,7.236705436,191.9535738,rice,Punjab,Amritsar,30.970882,75.482729,230.7,Alluvial,0.401,0.488,10.77,25.78,Trans-Gangetic Plains Region,High,Flood,Kharif,July,12.87,16.29,6.28,157,0.4522292705586452,0.2929936119112349,0.2547770538358564,39.39,0.5958922294857188,High,Moderate,20.496206963703667,2,1,1
99,55,35,21.7238313,80.2389895,6.501697816,277.9626192,rice,Tamil Nadu,Coimbatore,11.236226,79.219538,108.1,Clayey,0.745,0.499,9.54,35.85,East Coast Plains and Hills Region,High,Canal,Kharif,June,9.48,18.51,5.38,189,0.5238094960947356,0.29100527560818645,0.18518517538702775,53.4,0.42865168320308955,High,Moderate,61.986149776469986,2,1,1
72,40,38,20.41447029,82.20802629,7.592490617,245.1511304,rice,West Bengal,Bardhaman,23.02917,87.488675,22.5,Clayey,0.845,0.758,5.86,32.86,Lower Gangetic Plains Region,High,Flood,Kharif,June,6.66,15.18,4.98,150,0.4799999680000021,0.2666666488888901,0.25333331644444557,42.8,0.4280060168711937,High,Moderate,35.057638072811244,2,1,1
83,58,45,25.75528612,83.51827127,5.875345751,245.6626799,rice,West Bengal,Murshidabad,22.599077,87.192818,88.8,Alluvial,0.412,0.308,4.91,27.8,Lower Gangetic Plains Region,Medium,Canal,Kharif,July,10.28,13.99,5.64,186,0.44623653514857337,0.31182794022430427,0.24193547086368436,44.82,0.5854906209993661,High,Moderate,26.137908753045497,2,1,1
93,58,38,20.61521424,83.77345559,6.932400225,279.5451717,rice,Tamil Nadu,Thanjavur,11.07615,78.866355,425.8,Clayey,0.834,0.229,6.02,42.04,East Coast Plains and Hills Region,High,Flood,Kharif,June,7.36,17.99,5.8,189,0.492063466028388,0.3068782906413603,0.20105819042020157,52.5,0.3942478304920644,High,Moderate,58.88790083962499,2,1,1
70,36,42,21.84106875,80.72886384,6.946209881,202.3838319,rice,Tamil Nadu,Madurai,11.398636,78.981082,387.1,Clayey,0.819,0.632,11.23,35.69,East Coast Plains and Hills Region,High,Flood,Kharif,July,6.13,17.95,5.67,148,0.4729729410153418,0.24324322680789007,0.28378376460920507,44.6,0.5638697532635313,High,Moderate,44.79411713478975,2,1,1
76,47,42,20.08369642,83.29114712,5.739175027,263.6372176,rice,Andhra Pradesh,Chittoor,15.639231,78.513902,376.0,Alluvial,0.745,0.355,6.11,21.6,East Coast Plains and Hills Region,High,Canal,Kharif,July,9.84,19.64,5.66,165,0.46060603269054345,0.28484846758494137,0.2545454391184582,45.25,0.4860753737649349,High,Moderate,39.6889108587777,2,1,1
99,41,36,24.45802087,82.74835604,6.738652179,182.5616319,rice,Uttar Pradesh,Varanasi,25.059215,80.096105,123.9,Clayey,0.66,0.697,9.56,43.31,Upper Gangetic Plains Region,High,Canal,Kharif,June,9.53,15.94,6.7,176,0.5624999680397745,0.2329545322184925,0.20454544292355437,48.81,0.7240033606241637,High,Moderate,47.6125398035925,2,1,1
99,54,37,21.14347496,80.33502926,5.594819626,198.6730942,rice,Odisha,Balasore,20.092671,84.07892,285.3,Clayey,0.906,0.88,9.86,35.32,East Coast Plains and Hills Region,High,Canal,Kharif,July,8.95,18.2,6.44,190,0.5210526041551261,0.2842105113573415,0.19473683185595622,51.68,0.5718460563005363,High,Moderate,52.904145949723485,2,1,1
86,59,35,25.78720567,82.11124033,6.946636369,243.5120414,rice,Uttar Pradesh,Lucknow,27.354407,80.093422,168.8,Alluvial,0.606,0.335,10.79,26.38,Upper Gangetic Plains Region,High,Flood,Kharif,June,10.35,15.59,5.45,180,0.4777777512345694,0.3277777595679022,0.19444443364197592,47.96,0.5487814885646565,High,Moderate,40.35974223340149,2,1,1
69,46,41,23.64124821,80.28597873,5.012139669,263.1103304,rice,Andhra Pradesh,Krishna,15.428023,79.432143,289.0,Alluvial,0.82,0.316,5.23,29.78,East Coast Plains and Hills Region,High,Canal,Kharif,June,6.06,19.76,5.85,156,0.44230766395463694,0.29487177596975794,0.26282049597304513,41.57,0.47283634881715125,High,Moderate,27.743982576977487,2,1,1
91,56,37,23.43191632,80.56887849,6.363472208,269.5039162,rice,West Bengal,Nadia,22.874091,87.192348,95.9,Clayey,0.58,0.302,3.78,42.6,Lower Gangetic Plains Region,Medium,Canal,Kharif,June,5.69,14.79,5.39,184,0.4945651905127614,0.3043478095463147,0.20108694559310078,49.51,0.5101740363541908,High,Moderate,44.495971885479996,2,1,1
61,52,41,24.97669518,83.891805,6.880431223,204.8001847,rice,West Bengal,Murshidabad,22.361029,87.90421,29.1,Clayey,0.536,0.372,3.56,38.17,Lower Gangetic Plains Region,High,Flood,Kharif,June,9.39,14.54,5.18,154,0.39610387038286554,0.33766231573621325,0.26623374894586044,42.18,0.6083769664541413,High,Moderate,30.597436504952324,2,1,1
67,45,38,22.72791041,82.1706881,7.300410836,260.8875056,rice,Andhra Pradesh,Guntur,16.550579,79.249483,403.1,Alluvial,0.487,0.442,5.15,27.47,East Coast Plains and Hills Region,Medium,Canal,Kharif,July,12.8,18.12,6.44,150,0.44666663688889086,0.29999998000000133,0.25333331644444557,39.19,0.4647900879874637,High,Moderate,23.07543167178149,2,1,1
